source,target,length_m,bandwidth_capacity,travel_time_seconds,width_m
98025725,5718922737,51.09176010787502,462.8571428571428,4.598258409708752,6.0
98026475,5683792676,47.47302576441984,905.1428571428572,4.272572318797786,6.6
98027287,98027289,6.825683727037562,768.0000000000001,0.6143115354333807,6.4
98027289,5683792674,93.5128942278574,768.0000000000001,8.416160480507164,6.4
98027700,5683792677,79.93073847056762,905.1428571428572,7.1937664623510855,6.6
98029773,7505045892,12.463822084729385,822.8571428571428,1.1217439876256448,8.0
98030755,6677854920,72.44004294658997,768.0000000000001,6.519603865193098,6.4
98034547,6648096527,88.30586183681149,1748.5714285714284,7.947527565313035,10.2
98041254,98041851,30.025680500749623,1748.5714285714284,2.7023112450674662,10.2
98041257,98041849,31.17223382332,905.1428571428572,2.8055010440988,6.6
98042270,309816682,20.93527270898015,658.2857142857143,1.8841745438082136,6.4
