path_idx,request_id,start_time,travel_time,num_nodes,num_edges,time_per_edge
336,350,0,386.2212649669948,54,53,7.29
337,351,0,479.9174619300604,103,102,4.71
338,352,0,242.77171909809113,36,35,6.94
339,353,0,705.5347101371059,156,155,4.55
340,354,0,806.5851503261003,149,148,5.45
341,355,0,570.9080970765295,112,111,5.14
342,356,0,880.4618216790741,169,168,5.24
343,357,0,330.9515968818199,67,66,5.01
344,358,0,51.69498382508755,15,14,3.69
345,359,0,189.25995126366615,33,32,5.91
346,360,0,451.54254157045034,89,88,5.13
347,361,0,131.25155226973658,35,34,3.86
348,362,0,595.9752664417028,95,94,6.34
349,363,0,328.2496667355299,94,93,3.53
350,364,0,119.88603088259697,29,28,4.28
351,365,0,268.89024251957693,58,57,4.72
352,366,0,296.2573663750446,65,64,4.63
353,367,0,536.6651774043567,125,124,4.33
354,368,0,929.5337016747494,161,160,5.81
355,369,0,600.635769659012,107,106,5.67
356,370,0,837.8031857926176,150,149,5.62
357,371,0,576.926854272934,100,99,5.83
358,372,0,1203.0590099779388,119,118,10.20
359,373,0,734.9770222020982,157,156,4.71
360,374,0,240.59855250821283,47,46,5.23
361,376,0,194.96061914414167,39,38,5.13
362,377,0,852.3010120006974,111,110,7.75
363,378,0,684.4299726207972,89,88,7.78
364,379,0,1025.1382443272146,151,150,6.83
365,380,0,443.4585588505824,84,83,5.34
366,381,0,904.6860550896303,113,112,8.08
367,382,0,426.33816110124775,80,79,5.40
368,383,0,573.5145401493872,101,100,5.74
369,384,0,234.52847361564636,53,52,4.51
370,385,0,882.4813440399204,126,125,7.06
371,386,0,567.449308721875,84,83,6.84
372,387,0,126.99771344661713,32,31,4.10
373,388,0,317.6201536357403,55,54,5.88
374,389,0,726.0708233174822,115,114,6.37
375,390,0,580.731627894918,99,98,5.93
376,391,0,1081.7052331309849,196,195,5.55
377,392,0,718.274273815815,97,96,7.48
378,393,0,740.7515740990639,115,114,6.50
379,394,0,82.84516716003418,23,22,3.77
380,395,0,396.3938788850197,84,83,4.78
381,396,0,938.6363446748209,124,123,7.63
382,397,0,660.6760381742033,134,133,4.97
383,398,0,338.01530005037785,79,78,4.33
384,399,0,669.2475941271549,96,95,7.04
385,400,0,640.6708359722392,90,89,7.20
386,401,0,397.5785341925197,84,83,4.79
387,402,0,270.59296429157257,46,45,6.01
388,403,0,464.16134339571,74,73,6.36
389,404,0,961.7900710972681,119,118,8.15
390,405,0,403.80987404229586,86,85,4.75
391,406,0,414.07878241177804,82,81,5.11
392,407,0,1020.1861822913551,150,149,6.85
393,408,0,576.5064868220167,103,102,5.65
394,409,0,347.91399339055636,62,61,5.70
395,410,0,210.66008517315936,31,30,7.02
396,411,0,243.9395752284835,51,50,4.88
397,412,0,597.2307722690977,121,120,4.98
398,413,0,751.9535468602768,171,170,4.42
399,414,0,450.21293523343303,63,62,7.26
400,415,0,849.8856521078601,140,139,6.11
401,416,0,343.7140463888645,58,57,6.03
402,417,0,367.8536120511569,42,41,8.97
403,418,0,429.8717408465131,71,70,6.14
404,419,0,382.9019572379352,80,79,4.85
405,420,0,529.6430585739313,93,92,5.76
406,421,0,470.80621301426476,82,81,5.81
